,name,online_order,book_table,votes,location,cuisines,approx_cost(for two people),listed_in(type),type,rate
8615,4356,1,0,670,9,38,500.0,2,4,3.9
29303,6005,0,0,14710,29,51,900.0,1,8,4.7
2779,5174,1,0,22,3,51,250.0,2,8,3.7
21109,3780,1,0,80,21,51,750.0,4,4,3.5
44380,2215,1,0,638,39,51,700.0,3,3,4.1
26908,591,1,0,174,30,14,600.0,2,3,4.2
43412,2856,0,0,62,49,49,450.0,4,4,3.6
1945,6242,0,0,11,9,3,300.0,3,0,3.5
26781,5458,1,0,269,29,51,300.0,2,8,4.0
34963,2806,1,0,966,21,51,500.0,2,9,4.0
42693,3386,1,1,409,37,51,1000.0,2,4,2.2
39569,2832,1,0,418,39,51,700.0,2,4,4.2
41973,3325,0,0,17,36,41,350.0,4,9,3.0
7882,5291,1,0,159,8,51,600.0,4,9,3.8
2029,1018,0,0,14,2,51,700.0,4,8,3.3
36705,798,1,0,79,32,51,400.0,4,3,4.0
44768,1188,1,0,124,19,51,450.0,1,8,4.1
33633,6178,1,0,366,13,51,600.0,2,4,4.1
22366,4224,1,0,23,9,51,400.0,2,9,4.0
15225,2760,0,0,29,12,7,400.0,2,2,3.8
16834,1346,1,1,281,28,51,1500.0,2,5,4.0
22373,226,1,0,6,21,6,100.0,2,2,3.4
5047,3466,0,0,2635,10,14,600.0,1,3,4.3
6045,2786,0,1,2115,34,51,2200.0,4,8,4.4
10877,1883,0,1,6348,31,51,1600.0,4,8,4.5
28694,3599,1,0,684,29,51,250.0,4,9,4.0
33769,292,0,0,13,14,51,200.0,3,9,3.5
40747,4245,0,0,59,36,51,600.0,2,3,2.9
16954,960,1,0,13,46,17,900.0,3,3,3.1
26214,2610,1,0,183,1,51,500.0,4,4,3.5
28767,2028,1,0,554,31,51,600.0,4,9,3.9
32470,1754,1,0,329,9,51,500.0,2,10,3.7
39820,4793,1,0,7,35,9,400.0,2,9,3.2
15964,2556,1,0,33,5,51,800.0,2,4,3.4
44550,679,1,0,6,39,47,300.0,4,9,3.3
19738,3701,1,0,339,21,51,300.0,2,9,4.1
19943,2294,0,0,1830,21,51,200.0,2,9,4.4
42294,2812,1,0,112,45,51,500.0,2,9,3.6
28302,3099,1,0,7,18,33,150.0,3,7,3.5
7397,2311,1,0,61,36,51,700.0,2,4,3.7
24988,4202,0,0,157,1,32,1100.0,4,8,4.0
6647,5286,0,1,73,48,51,1200.0,5,1,3.8
21667,2370,0,0,14,9,51,300.0,4,9,3.5
79,6075,0,0,39,0,51,350.0,2,9,3.8
38555,3129,1,0,33,12,24,400.0,3,7,4.1
3534,5746,1,0,888,0,51,750.0,4,4,3.9
49767,2783,1,0,78,46,40,500.0,4,9,3.6
40140,2673,1,0,327,35,54,150.0,4,8,4.1
25677,1304,1,0,10,1,8,300.0,2,9,3.5
15955,3012,1,0,247,18,51,200.0,2,10,3.1
4575,565,1,0,419,5,51,900.0,4,4,3.8
30083,1739,1,1,347,29,51,1000.0,2,5,4.4
22257,3574,1,0,12,9,51,250.0,2,9,3.2
35558,4047,1,0,616,9,51,600.0,2,3,3.8
4209,992,1,0,484,18,51,700.0,2,8,3.6
49247,4250,1,0,44,46,51,600.0,2,9,3.2
22353,3862,1,0,6,23,40,300.0,2,9,3.3
30749,2346,0,0,21,14,51,350.0,2,9,3.4
69,910,1,0,71,3,51,600.0,2,9,3.2
29277,6093,0,1,32,29,40,1000.0,0,4,3.5
8460,4148,1,0,177,9,40,300.0,2,9,2.9
6108,514,0,1,484,44,32,3000.0,4,8,4.2
45145,4155,0,0,8,52,40,200.0,2,9,3.5
36694,5601,0,1,5017,29,51,1800.0,4,8,4.6
40350,2420,1,0,328,43,51,450.0,4,4,3.8
17722,2602,1,0,238,19,51,800.0,2,4,3.9
44017,4136,1,0,1586,39,51,800.0,2,4,4.0
16658,2249,1,0,14,5,41,500.0,2,9,3.1
9285,4086,1,1,759,23,38,600.0,2,4,3.8
7406,6334,1,0,51,54,54,600.0,2,6,3.5
15644,89,1,0,42,52,51,400.0,4,4,3.6
30289,2863,0,0,12,29,51,200.0,2,9,3.5
10863,6295,0,1,1533,29,51,2000.0,4,8,4.4
30012,4414,1,0,12,14,40,250.0,2,9,3.5
16033,5037,1,1,342,28,51,450.0,2,9,4.3
48622,5366,0,0,7,41,51,600.0,4,4,3.4
23701,2711,1,0,35,21,10,250.0,4,9,3.5
46632,2046,1,0,155,43,33,500.0,3,7,4.0
146,1530,0,0,98,0,40,800.0,2,1,3.0
48264,4478,1,1,570,48,51,1200.0,4,4,4.2
25633,4633,1,1,667,1,51,700.0,2,4,4.0
39912,3888,0,0,6,43,51,400.0,2,9,3.3
6259,599,1,0,262,45,21,850.0,4,4,3.8
40870,5313,0,0,10,36,11,700.0,2,6,3.0
28636,255,0,0,18,30,8,250.0,4,8,3.4
23462,1871,1,1,1976,2,51,1000.0,4,4,4.2
46420,4759,1,0,441,41,51,250.0,2,9,3.9
32669,3552,1,0,85,31,38,400.0,2,9,3.9
51289,1301,1,0,134,54,18,650.0,4,4,3.1
39408,1876,0,1,950,35,45,2000.0,0,8,4.3
30122,2711,1,0,35,21,10,250.0,2,9,3.5
42182,5863,0,1,337,34,47,1000.0,0,5,4.2
21692,5933,0,0,6,23,54,300.0,4,9,3.5
50397,3314,1,0,147,54,19,600.0,2,8,3.9
2141,1531,1,0,81,2,51,200.0,4,9,3.1
33891,4153,1,0,36,30,51,300.0,4,9,3.7
41841,1978,1,0,313,36,40,300.0,4,9,3.4
12520,2364,1,0,1708,10,51,1300.0,4,8,4.3
1858,697,1,0,7,2,51,300.0,3,8,3.3
43175,406,1,1,873,37,51,1800.0,4,4,4.5
17604,5507,1,0,71,19,14,500.0,1,3,3.8
42963,3057,0,0,13,16,24,600.0,2,10,3.6
12714,4115,0,0,224,44,51,700.0,4,4,4.0
4470,1076,1,0,6,5,25,300.0,3,8,3.4
3351,2294,0,0,279,3,51,200.0,4,9,4.1
49810,1790,1,0,8,46,51,400.0,4,9,3.0
41736,5109,1,0,97,36,51,500.0,4,9,3.7
10678,5083,1,0,14,9,38,300.0,4,9,3.4
11714,5698,1,0,10,53,51,500.0,2,10,3.6
49855,5280,0,0,19,5,51,500.0,4,8,3.8
